Item id,Most popular answer,Unanimous?,No count,Skip count,Yes count,No explanations,Skip explanations,Yes explanations
/guidance/classifying-footwear,Yes,Yes,0,0,1,"","",""
/government/publications/alvs-user-and-reference-guides,Yes,Yes,0,0,1,"","",""
/guidance/classifying-edible-fruits-nuts-and-peel,Yes,Yes,0,0,1,"","",""
/government/news/booze-scam-brothers-jailed,No,Yes,1,0,0,"","",""
/government/collections/foreign-entertainers-forms,No,Yes,1,0,0,"","",""
/government/publications/anti-dumping-duty-measure-ad2155,Yes,Yes,0,0,1,"","",""
/guidance/classifying-toys-games-and-sports-equipment,Yes,Yes,0,0,1,"","",""
/guidance/fair-rents,Yes,Yes,0,0,1,"","",""
/guidance/classifying-audio-and-video-equipment,Yes,Yes,0,0,1,"","",""
/guidance/child-tax-credit-exceptions-to-the-2-child-limit,Yes,Yes,0,0,1,"","",""
/government/publications/ukctrl-chief-error-response-message,Yes,Yes,0,0,1,"","",""
/government/publications/national-export-system-nes-web-service-availability-and-issues,Yes,Yes,0,0,1,"","",""
/government/news/gift-aid-celebrates-its-25th-birthday,Skip,Yes,0,1,0,"","",""
/government/collections/import-and-export-of-manufactured-goods,Yes,Yes,0,0,1,"","",""
/government/publications/notice-812-european-community-preferences-trade-with-turkey,Yes,Yes,0,0,1,"","",""
/government/news/g8-summit-live,Yes,Yes,0,0,1,"","",""
/government/publications/intrastat-is2-service-availability-and-issues,Yes,Yes,0,0,1,"","",""
/government/collections/climate-change-levy-notices,No,Yes,1,0,0,"","",""
/government/publications/notice-361-importing-museum-and-gallery-exhibits-free-of-duty-and-vat,Yes,Yes,0,0,1,"","",""
/government/publications/notice-365-importing-animals-for-scientific-research-free-of-duty-and-vat,Yes,Yes,0,0,1,"","","I think theres one about import/export rules, should be there"
/government/publications/anti-dumping-duty-measure-ad2212,Yes,Yes,0,0,1,"","",""
/government/publications/measuring-practice-for-voa-property-valuations,Yes,Yes,0,0,1,"","",""
/government/publications/number-of-detached-houses-constructed-before-1919-that-were-sold-in-1990-1991-in-west-devon-villages,Yes,Yes,0,0,1,"","",""
/government/publications/tariff-notice-5-2017-inflatable-boats-designed-for-children-and-multi-rotor-helicopters,Yes,Yes,0,0,1,"","",""
/guidance/rates-and-allowances-for-air-passenger-duty,Yes,Yes,0,0,1,"","",""
/government/publications/notification-of-vehicle-arrivals-nova-service-availability-and-issues,Yes,Yes,0,0,1,"","",""
/government/publications/ukctrl-chief-error-response-message,Yes,Yes,0,0,1,"","",""
/guidance/local-housing-allowance,Yes,Yes,0,0,1,"","",""
/guidance/importing-animal-furs-skins-and-fish,Yes,Yes,0,0,1,"","",""
/government/publications/new-computerised-transit-system-ncts-web-service-availability-and-issues,Yes,Yes,0,0,1,"","",""
/guidance/air-passenger-duty-and-connected-flights,No,Yes,1,0,0,"","",""
/government/news/commonwealth-games-to-get-extra-boost,Skip,Yes,0,1,0,"","argghhhhh I dunno, maybe move to a tax exemptions taxon, if one exists? If not, maybe it should exist",""
/government/news/special-effects-giant-industrial-light-and-magic-to-create-200-jobs-at-new-london-studio,Yes,Yes,0,0,1,"","",Tax relief taxon?
/government/news/why-remaining-in-the-eu-is-just-the-tonic-for-the-gin-industry,Yes,Yes,0,0,1,"","",""
/government/publications/child-trust-fund-service-availability-and-issues,No,Yes,1,0,0,"","",""
/government/publications/anti-dumping-duty-measure-ad2144,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2134,Yes,Yes,0,0,1,"","",""
/government/collections/bwletin-y-cyflogwr-cyllid-a-thollau-em,Skip,Yes,0,1,0,"","",""
/government/publications/anti-dumping-duty-measure-ad2142,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2222,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2221,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2108,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2209,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2160,Yes,Yes,0,0,1,"","",""
/government/publications/chief-error-codes-e02800-to-e02999,No,Yes,1,0,0,"","",""
/guidance/classifying-plastics,Yes,Yes,0,0,1,"","",""
/government/collections/gambling-duty-notices,No,Yes,1,0,0,"","",""
/government/publications/anti-dumping-duty-measure-ad2102,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2107,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2166,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2100,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2228,Yes,Yes,0,0,1,"","",""
/government/news/press-briefing-afternoon-17-june-2013,Yes,Yes,0,0,1,"","",""
/guidance/classifying-textile-apparel,Yes,Yes,0,0,1,"","",""
/government/news/press-briefing-morning-11-december-2014,Yes,Yes,0,0,1,"","",""
/guidance/classifying-ceramics,Yes,Yes,0,0,1,"","",""
/guidance/classifying-wood,Yes,Yes,0,0,1,"","",""
/government/publications/anti-dumping-duty-measure-ad2136,Yes,Yes,0,0,1,"","",""
/guidance/classifying-textile-apparel,Yes,Yes,0,0,1,"","",""
/government/publications/notice-373-importing-visual-and-auditory-materials-free-of-duty-and-vat,Yes,Yes,0,0,1,"","",60% sure it should be removed
/government/publications/charities-sponsorship-and-gift-aid-declaration-form,Yes,Yes,0,0,1,"","",""
/government/publications/notice-6-merchandise-in-baggage,Yes,Yes,0,0,1,"","",""
/government/news/over-50000-charities-now-claiming-gift-aid-online,Skip,Yes,0,1,0,"",No idea,""
/government/news/press-briefing-morning-24-february,Skip,Yes,0,1,0,"",Is there something more granular it can move to?,""
/government/publications/anti-dumping-duty-measure-ad2104,Yes,Yes,0,0,1,"","",""
